PCB Type,Rev,Serial Number,Status,Rework,Notes
hv_breakout,A,BOB-001-A,Ordered,,
hv_breakout,A,BOB-002-A,Ordered,,
hv_breakout,A,BOB-003-A,Ordered,,
hv_breakout,A,BOB-004-A,Ordered,,
hv_breakout,A,BOB-005-A,Ordered,,
hv_breakout,A,BOB-006-A,Ordered,,
