PCB Type,Rev,Serial Number,Status,Rework,Notes
processor,A,PBB-001-A,Ordered,,
processor,A,PBB-002-A,Ordered,,
processor,A,PBB-003-A,Ordered,,
processor,A,PBB-004-A,Ordered,,
processor,A,PBB-005-A,Ordered,,
